Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris;Column 12;Column 13;Column 14;Column 15
90;Métro;CHARLES MICHELS;4923871;10;;;;;Paris;15;;;;
89;Métro;PASTEUR;4944020;6;12;;;;Paris;9;;;;
87;Métro;PONT DE SEVRES;4980193;9;;;;;Boulogne Billancourt;;;;;
106;Métro;ECOLE MILITAIRE;4315153;8;;;;;Paris;7;;;;
102;Métro;ROBESPIERRE;4551649;9;;;;;Montreuil;;;;;
105;Métro;JULES JOFFRIN;4344027;12;;;;;Paris;18;;;;
118;Métro;RAMBUTEAU;4139059;11;;;;;Paris;3;;;;
111;Métro;JUSSIEU;4282997;7;10;;;;Paris;5;;;;
116;Métro;PORTE DE CLICHY;4145014;13;;;;;Paris;17;;;;
117;Métro;MAIRIE DE SAINT-OUEN;4143606;13;;;;;Saint Ouen;;;;;
123;Métro;OURCQ;3985487;5;;;;;Paris;19;;;;
126;Métro;DUPLEIX;3905952;6;;;;;Paris;15;;;;
125;Métro;FORT D'AUBERVILLIERS;3928197;7;;;;;Aubervilliers;;;;;
135;Métro;BOULOGNE-JEAN JAURES;3767032;10;;;;;Boulogne Billancourt;;;;;
158;Métro;JOURDAIN;3356879;11;;;;;Paris;20;;;;
161;Métro;CADET;3289639;7;;;;;Paris;9;;;;
154;Métro;BOURSE;3410557;3;;;;;Paris;2;;;;
211;Métro;QUAI DE LA GARE;2544008;6;;;;;Paris;13;;;;
190;Métro;CORENTIN CARIOU;2833439;7;;;;;Paris;19;;;;
174;Métro;RUE DE LA POMPE;3082105;9;;;;;Paris;16;;;;
177;Métro;GAITE;3009210;13;;;;;Paris;14;;;;
169;Métro;ETIENNE MARCEL;3131944;4;;;;;Paris;1;;;;
180;Métro;PLACE MONGE;2971998;7;;;;;Paris;6;;;;
182;Métro;LAMARCK-CAULAINCOURT;2946177;12;;;;;Paris;18;;;;
167;Métro;CAMBRONNE;3140382;6;;;;;Paris;15;;;;
195;Métro;MARAICHERS;2769540;9;;;;;Paris;20;;;;
206;Métro;TUILERIES;2622025;1;;;;;Paris;1;;;;
235;Métro;CLUNY LA SORBONNE;2255703;10;;;;;Paris;5;;;;
220;Métro;RIQUET;2391609;7;;;;;Paris;19;;;;
232;Métro;ABBESSES;2276012;12;;;;;Paris;18;;;;
228;Métro;RUE DU BAC;2314720;12;;;;;Paris;7;;;;
237;Métro;TRINITE-D'ESTIENNE D'ORVES;2226802;12;;;;;Paris;9;;;;
233;Métro;SAINT-MARCEL;2260458;5;;;;;Paris;13;;;;
240;Métro;SAINT-JACQUES;2187883;6;;;;;Paris;13;;;;
251;Métro;EXELMANS;2044451;9;;;;;Paris;16;;;;
253;Métro;MICHEL BIZOT;2006980;8;;;;;Paris;12;;;;
256;Métro;PORTE D'IVRY;1929011;7;;;;;Paris;13;;;;
265;Métro;MABILLON;1738843;10;;;;;Paris;6;;;;
264;Métro;MONTGALLET;1755560;8;;;;;Paris;12;;;;
276;Métro;SULLY-MORLAND;1513782;7;;;;;Paris;4;;;;
293;Métro;FALGUIERE;884202;12;;;;;Paris;15;;;;
301;Métro;PRE-SAINT-GERVAIS;360890;7bis;;;;;Paris;19;;;;
5;RER;NANTERRE-PREFECTURE;22934672;A;;;;;Nanterre;;;;;
10;RER;SAINT-MICHEL-NOTRE-DAME;7355560;B;;;;;Paris;;;;;
16;RER;LUXEMBOURG;5499946;B;;;;;Paris;5;;;;
18;RER;MARNE-LA-VALLEE-CHESSY;5157016;A;;;;;Montévrain;;;;;
24;RER;NATION-RER;4171797;A;;;;;Paris;12;;;;
29;RER;SAINT-MAUR-CRETEIL;3564563;A;;;;;Saint-Maur des Fossés;;;;;
28;RER;NANTERRE-VILLE;3609052;A;;;;;Nanterre;;;;;
31;RER;CHAMPIGNY;3461601;A;;;;;Saint-Maur des Fossés;;;;;
41;RER;SUCY-BONNEUIL;2298313;A;;;;;Sucy-en-Brie;;;;;
47;RER;LE VESINET-LE PECQ;2122393;A;;;;;Le Vésinet;;;;;
52;RER;LE VESINET-CENTRE;1248923;A;;;;;Le Vésinet;;;;;
57;RER;PALAISEAU-VILLEBON;923579;B;;;;;Palaiseau;;;;;
66;RER;LA HACQUINIERE;451954;B;;;;;Bures sur Yvette;;;;;
1;Métro;GARE DU NORD;50872319;4;5;;;;Paris;10;;;;
5;Métro;GARE DE L'EST;20373189;4;5;7;;;Paris;10;;;;
11;Métro;BASTILLE;13225099;1;5;8;;;Paris;12;;;;
12;Métro;HOTEL DE VILLE;11764439;1;11;;;;Paris;4;;;;
20;Métro;PALAIS-ROYAL;9621986;1;7;;;;Paris;1;;;;
28;Métro;LA MOTTE-PICQUET-GRENELLE;8000496;6;8;10;;;Paris;15;;;;
36;Métro;CHATILLON-MONTROUGE;7274236;13;;;;;Chatillon;;;;;
35;Métro;MAIRIE DE MONTREUIL;7335865;9;;;;;Montreuil;;;;;
48;Métro;LA CHAPELLE;6630341;2;;;;;Paris;9;;;;
56;Métro;VILLIERS;6063343;2;3;;;;Paris;17;;;;
63;Métro;MARCEL SEMBAT;5879264;9;;;;;Boulogne Billancourt;;;;;
71;Métro;CONVENTION;5533112;12;;;;;Paris;15;;;;
69;Métro;CHATEAU DE VINCENNES;5581700;1;;;;;Vincennes;;;;;
73;Métro;DAUMESNIL;5316753;6;8;;;;Paris;12;;;;
74;Métro;PORTE DE SAINT-CLOUD;5311324;9;;;;;Paris;16;;;;
82;Métro;CRETEIL-PREFECTURE;5080418;8;;;;;Créteil;;;;;
93;Métro;BASILIQUE DE SAINT-DENIS;4857996;13;;;;;Saint Denis;;;;;
103;Métro;PEREIRE;4547754;3;;;;;Paris;17;;;;
101;Métro;GUY MOQUET;4587665;13;;;;;Paris;17;;;;
107;Métro;LAUMIERE;4311908;5;;;;;Paris;19;;;;
104;Métro;MENILMONTANT;4348973;2;;;;;Paris;11;;;;
113;Métro;SAINT-GERMAIN DES PRES;4195883;4;;;;;Paris;6;;;;
112;Métro;MAIRIE D'ISSY;4279661;12;;;;;Issy Les Moulineaux;;;;;
120;Métro;ALMA-MARCEAU;4070093;9;;;;;Paris;8;;;;
133;Métro;ANATOLE FRANCE;3794787;3;;;;;Levallois-Perret;;;;;
138;Métro;MALAKOFF-PLATEAU DE VANVES;3667554;13;;;;;Malakoff;;;;;
141;Métro;MARX DORMOY;3645866;12;;;;;Paris;18;;;;
137;Métro;ALEXANDRE DUMAS;3685441;2;;;;;Paris;11;;;;
147;Métro;POISSONNIERE;3528982;7;;;;;Paris;10;;;;
150;Métro;PORTE DE CHAMPERRET;3512664;3;;;;;Paris;17;;;;
156;Métro;ECOLE VETERINAIRE DE MAISONS-ALFORT;3367371;8;;;;;Maisons -Alfort;;;;;
163;Métro;BOULOGNE-PONT DE SAINT-CLOUD;3202618;10;;;;;Boulogne Billancourt;;;;;
181;Métro;COURONNES;2965420;2;;;;;Paris;11;;;;
201;Métro;CARREFOUR PLEYEL;2669794;13;;;;;Saint Denis;;;;;
183;Métro;COMMERCE;2885201;8;;;;;Paris;15;;;;
204;Métro;NATIONALE;2641580;6;;;;;Paris;13;;;;
205;Métro;MALESHERBES;2626600;3;;;;;Paris;17;;;;
210;Métro;RUE DES BOULETS;2561884;9;;;;;Paris;11;;;;
164;Métro;PARMENTIER;3201707;3;;;;;Paris;11;;;;
215;Métro;SAINT-SULPICE;2432844;4;;;;;Paris;6;;;;
222;Métro;RANELAGH;2380218;9;;;;;Paris;16;;;;
225;Métro;SEVRES-LECOURBE;2341763;6;;;;;Paris;15;;;;
241;Métro;EDGAR QUINET;2178463;6;;;;;Paris;14;;;;
244;Métro;LA TOUR-MAUBOURG;2110789;8;;;;;Paris;7;;;;
223;Métro;LOUVRE;2366043;1;;;;;Paris;1;;;;
248;Métro;MAISON BLANCHE;2085927;7;;;;;Paris;13;;;;
255;Métro;QUATRE-SEPTEMBRE;1929562;3;;;;;Paris;2;;;;
261;Métro;FELIX FAURE;1814488;8;;;;;Paris;15;;;;
269;Métro;SAINT-SEBASTIEN-FROISSART;1688254;8;;;;;Paris;3;;;;
267;Métro;FILLES DU CALVAIRE;1710231;8;;;;;Paris;3;;;;
271;Métro;CARDINAL LEMOINE;1642759;10;;;;;Paris;5;;;;
278;Métro;AVENUE EMILE ZOLA;1466777;10;;;;;Paris;15;;;;
286;Métro;TEMPLE;1270793;3;;;;;Paris;2;;;;
289;Métro;SAINT-GEORGES;1233216;12;;;;;Paris;9;;;;
288;Métro;QUAI DE LA RAPEE;1239904;5;;;;;Paris;12;;;;
295;Métro;ASSEMBLEE NATIONALE;739282;12;;;;;Paris;7;;;;
1;RER;GARE DU NORD-RER;47738502;B;;;;;Paris;10;;;;
3;RER;LA DEFENSE-RER;31115228;A;;;;;Puteaux;;;;;
6;RER;VAL DE FONTENAY;12969924;A;;;;;Fontenay-sous-Bois;;;;;
11;RER;CITE UNIVERSITAIRE;6911244;B;;;;;Paris;14;;;;
20;RER;NOISY-CHAMPS;4868790;A;;;;;Champs-sur-Marne;;;;;
23;RER;SAINT-GERMAIN-EN-LAYE;4454977;A;;;;;Saint-Germain-en-Laye;;;;;
25;RER;TORCY;4141694;A;;;;;Torcy;;;;;
26;RER;VAL D'EUROPE;4094800;A;;;;;Serris;;;;;
32;RER;PORT ROYAL;3384237;B;;;;;Paris;5;;;;
34;RER;LA CROIX DE BERNY;3158806;B;;;;;Antony;;;;;
35;RER;BUSSY-SAINT-GEORGES;2987714;A;;;;;Bussy-Saint-Georges;;;;;
36;RER;NOGENT-SUR-MARNE;2704755;A;;;;;Nogent-sur-Marne;;;;;
37;RER;NOISIEL;2681812;A;;;;;Noisiel;;;;;
38;RER;FONTENAY-SOUS-BOIS;2554932;A;;;;;Fontenay-sous-Bois;;;;;
40;RER;ORSAY-VILLE;2431429;B;;;;;Orsay;;;;;
43;RER;BAGNEUX;2198203;B;;;;;Cachan;;;;;
42;RER;CHATOU-CROISSY;2209283;A;;;;;Chatou;;;;;
44;RER;GENTILLY;2165738;B;;;;;Gentilly;;;;;
49;RER;LA VARENNE-CHENNEVIERES;1860491;A;;;;;saint-Maur des Fossés;;;;;
50;RER;LES BACONNETS;1806210;B;;;;;Antony;;;;;
58;RER;LOZERE;816797;B;;;;;Palaiseau;;;;;
59;RER;GIF-SUR-YVETTE;766786;B;;;;;Gif sur Yvette;;;;;
60;RER;BURES-SUR-YVETTE;714901;B;;;;;Bures sur Yvette;;;;;
61;RER;FONTAINE-MICHALON;708085;B;;;;;Antony;;;;;
63;RER;MASSY-VERRIERES;611015;B;;;;;Massy;;;;;
10;Métro;CHATELET;13466536;1;4;7;11;14;Paris;1;;;;
22;Métro;PORTE MAILLOT;9083545;1;;;;;Paris;16;;;;
30;Métro;BIR-HAKEIM;7932555;6;;;;;Paris;15;;;;
32;Métro;SAINT-MICHEL;7562865;4;;;;;Paris;5;;;;
43;Métro;CHAUSSEE D'ANTIN-LA FAYETTE;6945565;7;9;;;;Paris;9;;;;
37;Métro;OLYMPIADES;7103304;14;;;;;Paris;13;;;;
47;Métro;PORTE D'ORLEANS;6643601;4;;;;;Paris;14;;;;
41;Métro;PORTE DE VINCENNES;7058223;1;;;;;Paris;12;;;;
29;Métro;MARCADET-POISSONNIERS;7963672;4;12;;;;Paris;18;;;;
62;Métro;GALLIENI;5884810;3;;;;;Bagnolet;;;;;
59;Métro;MIROMESNIL;5895561;9;13;;;;Paris;8;;;;
67;Métro;LES SABLONS;5740806;1;;;;;Neuilly Sur Seine;;;;;
64;Métro;COUR SAINT-EMILION;5859214;14;;;;;Paris;12;;;;
70;Métro;BERCY;5544847;6;14;;;;Paris;12;;;;
77;Métro;ALESIA;5207485;4;;;;;Paris;14;;;;
76;Métro;CROIX DE CHAVAUX;5215902;9;;;;;Montreuil;;;;;
92;Métro;SAINT-DENIS-UNIVERSITE;4875315;13;;;;;Saint Denis;;;;;
91;Métro;PLAISANCE;4903776;13;;;;;Paris;14;;;;
94;Métro;PERE LACHAISE;4808099;2;3;;;;Paris;20;;;;
95;Métro;BONNE NOUVELLE;4786149;8;9;;;;Paris;10;;;;
96;Métro;COLONEL FABIEN;4706560;2;;;;;Paris;10;;;;
100;Métro;PORTE DE VANVES;4619691;13;;;;;Paris;14;;;;
97;Métro;DENFERT-ROCHEREAU;4701323;4;6;;;;Paris;14;;;;
127;Métro;ARTS ET METIERS;3899198;3;11;;;;Paris;3;;;;
129;Métro;PASSY;3835814;6;;;;;Paris;16;;;;
132;Métro;VICTOR HUGO;3802054;2;;;;;Paris;16;;;;
136;Métro;PORTE DE SAINT-OUEN;3725695;13;;;;;Paris;17;;;;
144;Métro;LOUISE MICHEL;3577070;3;;;;;Levallois-Perret;;;;;
149;Métro;CENSIER-DAUBENTON;3519746;7;;;;;Paris;6;;;;
143;Métro;CRETEIL-UNIVERSITE;3598231;8;;;;;Créteil;;;;;
153;Métro;GONCOURT;3415341;11;;;;;Paris;11;;;;
152;Métro;CORENTIN CELTON;3486870;12;;;;;Issy Les Moulineaux;;;;;
155;Métro;BROCHANT;3383369;13;;;;;Paris;17;;;;
173;Métro;PORTE DE CHOISY;3094950;7;;;;;Paris;13;;;;
188;Métro;PORTE DE LA CHAPELLE;2853699;12;;;;;Paris;18;;;;
170;Métro;BILLANCOURT;3105469;9;;;;;Boulogne Billancourt;;;;;
184;Métro;PORTE DAUPHINE;2879755;2;;;;;Paris;16;;;;
192;Métro;LA FOURCHE;2817908;13;;;;;Paris;8;;;;
196;Métro;PORTE DOREE;2760380;8;;;;;Paris;12;;;;
208;Métro;LIBERTE;2574219;8;;;;;Charenton;;;;;
207;Métro;BOBIGNY-PANTIN-RAYMOND QUENEAU;2579124;5;;;;;Pantin;;;;;
218;Métro;LOUIS BLANC;2419456;7;7bis;;;;Paris;10;;;;
234;Métro;MAUBERT-MUTUALITE;2260212;10;;;;;Paris;5;;;;
224;Métro;TELEGRAPHE;2342747;11;;;;;Paris;20;;;;
236;Métro;SOLFERINO;2243672;12;;;;;Paris;7;;;;
226;Métro;LES AGNETTES;2323166;13;;;;;Asnières sur Seine;;;;;
229;Métro;LE PELETIER;2304258;7;;;;;Paris;9;;;;
245;Métro;CITE;2109969;4;;;;;Paris;4;;;;
